section;compact;name;note;price
Kebab;;Kebab;12 dkg hús;2490
Kebab;;L;+ 6 dkg hús;+500
Kebab;;XL;+ 12 dkg hús;+1000
Kebab;;XXL;+ 18 dkg hús;+1500
Dürüm;;Dürüm;12 dkg hús;2490
Dürüm;;L;+ 6 dkg hús;+500
Dürüm;;XL;+ 12 dkg hús;+1000
Dürüm;;XXL;+ 18 dkg hús;+1500
